depth,magsus,reflec,d13C_VPDB,comment
6533.8,9.1,46.080767,NA,NA
6541.4,9,51.01305,NA,NA
6549,14.7,47.87555,1.5513936000000044,NA
6556.6,12.8,44.77205,NA,NA
6564.2,9.3,48.31245,NA,NA
6573.167,6.9,52.8156,NA,NA
6583.5,7.3,50.52885,1.9003039999999984,NA
6593.833,7.8,45.168,NA,NA
6603.875,11.9,52.27515,NA,NA
6613.625,12.9,50.1046,1.8083024000000023,NA
6623.375,10.7,47.79145,NA,NA
6633.125,17.3,46.79305,NA,NA
6642.5,8.7,52.9616,NA,NA
6651.5,7.2,52.71705,1.8596141000000017,NA
6660.5,6,54.8848,NA,NA
6669.5,6.5,55.5621,NA,NA
6678.75,10.9,53.49595,NA,NA
6688.25,11.2,50.64805,1.7190432000000015,NA
6697.75,11.9,51.82225,NA,NA
6707.25,9.2,49.39725,NA,NA
6716.375,6.8,56.0802,NA,NA
6725.125,5.9,56.5173,1.5027967999999987,NA
6733.875,7.4,52.5591,NA,NA
6742.625,6.7,48.44305,NA,NA
6751.75,8.8,55.2053,NA,NA
6761.25,10.4,51.6189,1.4719632000000047,NA
6770.75,11.3,51.40685,NA,NA
6780.25,11.3,50.2164,NA,NA
6793.2,8.8,51.73795,1.501435395179879,NA
6809.6,7.8,54.27825,NA,NA
6826,8.3,53.8877,1.7085360000000023,NA
6842.4,8.3,55.3492,NA,NA
6858.8,6.9,57.3921,NA,NA
6871.167,7.6,49.1763,NA,NA
6879.5,10.4,49.2132,1.3452928000000028,NA
6887.833,9.5,49.05415,NA,NA
6896.75,7.2,45.8648,NA,NA
6906.25,6.5,50.7884,1.790235200000005,NA
6915.75,11.2,51.51835,NA,NA
6925.25,9,50.4926,NA,NA
6936,15.1,47.6243,NA,NA
6948,17.1,45.49315,1.1174145999999965,NA
6960,14.8,51.13945,NA,NA
6972,15.3,49.96545,NA,NA
6982.75,7.1,48.58185,NA,NA
